year,category,time
2017,Alarm Handling,178
2017,Turnout Time,120
2017,First Arriving Travel Time,331
2017,ERF Travel Time,517
2017,First Arriving Total Time,513
2017,ERF Total Time,686
2018,Alarm Handling,181
2018,Turnout Time,122
2018,First Arriving Travel Time,333
2018,ERF Travel Time,547
2018,First Arriving Total Time,519
2018,ERF Total Time,700
2019,Alarm Handling,176
2019,Turnout Time,120
2019,First Arriving Travel Time,345
2019,ERF Travel Time,571
2019,First Arriving Total Time,521
2019,ERF Total Time,724
2020,Alarm Handling,188
2020,Turnout Time,116
2020,First Arriving Travel Time,347
2020,ERF Travel Time,570
2020,First Arriving Total Time,547
2020,ERF Total Time,743
2021,Alarm Handling,184
2021,Turnout Time,104
2021,First Arriving Travel Time,358
2021,ERF Travel Time,564
2021,First Arriving Total Time,545
2021,ERF Total Time,739