year,category,time
2017,Alarm Handling,2:58
2017,Turnout Time,2:00
2017,First Arriving Travel Time,5:31
2017,ERF Travel Time,8:37
2017,First Arriving Total Time,8:33
2017,ERF Total Time,11:26
2018,Alarm Handling,3:01
2018,Turnout Time,2:02
2018,First Arriving Travel Time,5:33
2018,ERF Travel Time,9:07
2018,First Arriving Total Time,8:39
2018,ERF Total Time,11:40
2019,Alarm Handling,2:56
2019,Turnout Time,2:00
2019,First Arriving Travel Time,5:45
2019,ERF Travel Time,9:31
2019,First Arriving Total Time,8:41
2019,ERF Total Time,12:04
2020,Alarm Handling,3:08
2020,Turnout Time,1:56
2020,First Arriving Travel Time,5:47
2020,ERF Travel Time,9:30
2020,First Arriving Total Time,9:07
2020,ERF Total Time,12:23
2021,First Arriving Total Time,11:26
2021,Alarm Handling,3:04
2021,Turnout Time,1:44
2021,First Arriving Travel Time,5:58
2021,ERF Travel Time,9:24
2021,First Arriving Total Time,9:05
2021,ERF Total Time,12:19